id,animal_category,disease,sym_part,symptom,url
951,フェレット,リンパ腫 <フェレット>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
952,フェレット,リンパ腫 <フェレット>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
953,フェレット,電撃傷（感電） <共通> <フェレット>,皮膚の症状,['赤い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1202?breed=05999
954,フェレット,電撃傷（感電） <共通> <フェレット>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1202?breed=05999
955,フェレット,電撃傷（感電） <共通> <フェレット>,意識・状態の異常,['震えている' '痙攣を起こす'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1202?breed=05999
956,フェレット,歯髄炎 <フェレット>,口の症状,['よだれを垂らす' '口を痛がる' '歯がぐらついている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1170?breed=05999
957,フェレット,歯髄炎 <フェレット>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1170?breed=05999
958,フェレット,肺炎 <フェレット>,鼻の症状,['鼻水をたらす' 'くしゃみをする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1162?breed=05999
959,フェレット,肺炎 <フェレット>,目の症状,['目やにが出る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1162?breed=05999
960,フェレット,肺炎 <フェレット>,呼吸の異常,['呼吸が荒い' '口をあけて呼吸をする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1162?breed=05999
961,フェレット,肺炎 <フェレット>,意識・状態の異常,['ぐったりしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1162?breed=05999
962,フェレット,肺炎 <フェレット>,その他の症状,['熱っぽい' '食欲がない'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1162?breed=05999
963,フェレット,肺炎 <フェレット>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1162?breed=05999
964,フェレット,犬ジステンパーウイルス感染症 <フェレット>,鼻の症状,['くしゃみをする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1166?breed=05999
965,フェレット,犬ジステンパーウイルス感染症 <フェレット>,目の症状,['目やにが出る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1166?breed=05999
966,フェレット,犬ジステンパーウイルス感染症 <フェレット>,意識・状態の異常,['震えている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1166?breed=05999
967,フェレット,犬ジステンパーウイルス感染症 <フェレット>,歩き方・座り方の異常,['足がふらつく'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1166?breed=05999
968,フェレット,犬ジステンパーウイルス感染症 <フェレット>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1166?breed=05999
969,フェレット,白内障 <フェレット>,目の症状,['見えてなさそう' '目が白く濁っている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1161?breed=05999
970,フェレット,白内障 <フェレット>,意識・状態の異常,['行動の変化'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1161?breed=05999
971,フェレット,耳疥癬 <フェレット>,耳の症状,['耳の毛が抜けている' '耳が臭う' '耳が赤い' '耳を痒がる' '耳垢が出ている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1160?breed=05999
